dt,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3
2020-11-25 01:00:00,1,447.27,4.53,10.45,2.37,13.11,6.37,7.76,0.88
2020-11-25 02:00:00,1,467.3,2.07,17.31,10.1,18.84,7.1,8.6,1.16
2020-11-25 03:00:00,1,520.71,0.91,21.94,30.04,26.7,8.5,10.12,1.36
2020-11-25 04:00:00,1,460.63,0.33,14.4,40.77,20.5,6.13,7.33,0.95
2020-11-25 05:00:00,1,447.27,0.18,12.0,37.55,18.12,5.48,6.57,0.79
2020-11-25 06:00:00,1,473.98,0.16,12.68,35.41,19.55,6.62,7.79,0.71
2020-11-25 07:00:00,1,527.38,0.2,15.08,31.83,20.98,8.23,9.67,0.85
2020-11-25 08:00:00,1,627.52,0.28,18.17,27.18,21.46,9.85,11.59,1.03
2020-11-25 09:00:00,2,720.98,0.32,20.56,20.74,20.03,10.67,12.53,1.12
2020-11-25 10:00:00,3,1415.25,4.53,38.04,5.54,19.07,20.02,23.37,2.79
2020-11-25 11:00:00,4,2082.82,16.99,42.5,0.02,16.69,31.92,37.8,4.24
2020-11-25 12:00:00,4,1976.01,22.13,34.27,0.0,12.99,34.41,42.79,4.88
2020-11-25 13:00:00,4,1682.28,20.79,28.79,0.0,10.01,33.67,43.45,4.43
2020-11-25 14:00:00,4,1321.79,15.2,25.36,0.01,6.97,30.37,39.92,2.57
2020-11-25 15:00:00,3,921.25,8.49,20.39,0.09,4.89,22.43,29.83,1.41
2020-11-25 16:00:00,1,357.15,0.27,8.14,2.39,3.79,6.13,7.85,0.31
2020-11-25 17:00:00,1,290.39,0.21,4.5,1.81,2.92,3.42,4.61,0.42
2020-11-25 18:00:00,1,267.03,0.31,3.6,1.19,3.07,2.7,3.76,0.51
2020-11-25 19:00:00,1,257.02,0.65,3.04,0.55,2.95,2.72,4.06,0.73
2020-11-25 20:00:00,1,250.34,1.26,2.23,0.15,2.89,2.89,4.66,0.93
2020-11-25 21:00:00,1,257.02,2.1,1.63,0.03,3.19,3.04,5.14,1.12
2020-11-25 22:00:00,1,310.42,4.08,1.61,0.01,4.35,4.11,6.49,1.41
2020-11-25 23:00:00,1,494.0,8.83,2.14,0.05,6.14,7.1,10.3,1.77
2020-11-26 00:00:00,1,700.95,13.41,4.03,0.4,7.75,9.46,13.48,1.82
2020-11-26 01:00:00,1,447.27,3.05,10.54,3.13,11.21,5.44,7.0,0.84
2020-11-26 02:00:00,1,397.21,1.44,11.48,4.2,12.4,4.77,6.13,0.88
2020-11-26 03:00:00,1,353.81,0.99,10.28,4.56,12.4,3.83,5.09,0.83
2020-11-26 04:00:00,1,307.08,0.49,6.86,5.01,8.7,2.54,3.43,0.61
2020-11-26 05:00:00,1,333.79,0.57,7.28,5.81,8.82,2.74,3.56,0.68
2020-11-26 06:00:00,1,393.87,0.78,9.51,7.33,11.33,3.68,4.51,0.82
2020-11-26 07:00:00,1,560.76,1.37,14.05,8.05,12.28,6.1,7.32,1.3
2020-11-26 08:00:00,2,854.49,3.19,21.42,4.6,13.35,10.08,12.0,2.09
2020-11-26 09:00:00,2,1241.68,10.06,26.39,1.03,16.93,14.82,17.44,3.17
2020-11-26 10:00:00,3,1762.39,21.91,31.87,0.11,22.41,22.65,26.26,4.56
2020-11-26 11:00:00,4,2029.42,28.39,36.67,0.0,21.46,30.26,35.03,4.18
2020-11-26 12:00:00,4,1922.61,26.82,37.7,0.0,16.69,33.52,39.11,3.23
2020-11-26 13:00:00,4,1602.17,20.34,34.96,0.0,12.16,32.79,38.61,2.63
2020-11-26 14:00:00,4,1388.55,15.87,29.13,0.0,9.66,31.93,38.16,2.95
2020-11-26 15:00:00,4,1268.39,14.75,23.65,0.0,8.7,30.88,37.46,3.26
2020-11-26 16:00:00,3,1001.36,11.74,17.31,0.0,7.21,24.25,29.96,2.38
2020-11-26 17:00:00,2,714.3,8.05,12.51,0.0,5.78,17.66,21.86,1.46
2020-11-26 18:00:00,2,520.71,5.2,9.94,0.01,5.36,13.41,16.32,1.0
2020-11-26 19:00:00,1,310.42,0.59,9.43,0.88,6.97,9.09,10.27,0.31
2020-11-26 20:00:00,1,236.99,0.21,6.34,0.98,5.84,5.88,6.62,0.33
2020-11-26 21:00:00,1,216.96,0.33,4.41,0.79,4.77,3.52,4.07,0.35
2020-11-26 22:00:00,1,230.31,0.87,3.9,0.53,5.13,2.67,3.18,0.41
2020-11-26 23:00:00,1,280.38,2.18,3.47,0.31,5.66,2.89,3.61,0.55
2020-11-27 00:00:00,1,320.44,2.6,4.03,0.94,5.78,2.9,3.78,0.56
2020-11-27 01:00:00,1,337.12,1.36,6.34,5.05,6.02,2.95,3.89,0.57
2020-11-27 02:00:00,1,340.46,0.82,7.37,13.05,6.26,3.46,4.64,0.67
2020-11-27 03:00:00,1,337.12,0.66,7.2,20.21,6.2,3.68,4.94,0.66
2020-11-27 04:00:00,1,333.79,0.62,6.43,22.71,5.78,3.54,4.82,0.62
2020-11-27 05:00:00,1,393.87,0.73,8.4,31.11,7.39,4.62,5.96,0.78
2020-11-27 06:00:00,1,534.06,0.82,13.02,52.93,11.92,7.78,9.27,1.2
2020-11-27 07:00:00,2,660.9,0.87,14.57,105.86,17.64,12.53,14.14,1.46
2020-11-27 08:00:00,2,694.28,0.45,15.08,114.44,20.74,14.71,16.26,1.2
2020-11-27 09:00:00,2,687.6,0.25,16.97,87.26,21.22,13.65,14.99,0.88
2020-11-27 10:00:00,3,1375.2,0.1,41.47,36.12,18.36,21.92,24.37,2.06
2020-11-27 11:00:00,4,2136.23,2.01,60.32,4.78,17.88,34.67,39.04,4.37
2020-11-27 12:00:00,4,2296.45,7.26,54.15,0.2,19.55,40.25,46.19,7.66
2020-11-27 13:00:00,4,2349.85,11.62,49.35,0.04,24.32,46.43,53.42,12.03
2020-11-27 14:00:00,5,2456.67,16.32,44.55,0.01,26.94,53.38,61.06,14.95
2020-11-27 15:00:00,5,2403.26,21.23,37.01,0.0,25.75,54.81,62.62,14.95
2020-11-27 16:00:00,4,2002.72,21.23,26.39,0.0,19.07,44.27,50.85,10.01
2020-11-27 17:00:00,4,1508.71,16.54,19.36,0.0,10.25,33.2,38.09,3.71
2020-11-27 18:00:00,3,1041.41,8.94,17.14,0.04,5.84,24.54,27.83,1.14
2020-11-27 19:00:00,2,433.92,1.06,12.68,0.33,6.62,11.94,13.01,0.14
2020-11-27 20:00:00,1,340.46,0.65,9.43,0.22,3.99,9.22,10.12,0.5
2020-11-27 21:00:00,1,300.41,0.82,6.94,0.17,3.19,7.83,8.65,0.67
2020-11-27 22:00:00,1,320.44,1.62,6.17,0.1,3.58,8.07,8.98,0.89
2020-11-27 23:00:00,1,417.23,4.14,6.0,0.12,4.53,9.22,10.69,1.14
2020-11-28 00:00:00,1,494.0,5.64,6.94,1.05,5.6,8.86,10.75,1.14
2020-11-28 01:00:00,1,423.91,1.31,10.03,7.06,8.82,6.08,7.27,0.73
2020-11-28 02:00:00,1,417.23,0.64,11.14,16.63,11.44,6.1,7.31,0.81
2020-11-28 03:00:00,1,413.9,0.52,12.0,30.76,14.54,6.59,7.87,0.88
2020-11-28 04:00:00,1,367.17,0.44,8.91,38.98,13.47,5.53,6.61,0.67
2020-11-28 05:00:00,1,343.8,0.4,7.28,43.63,12.88,4.82,5.75,0.57
2020-11-28 06:00:00,1,337.12,0.38,6.43,52.21,13.23,4.65,5.45,0.53
2020-11-28 07:00:00,1,327.11,0.38,5.57,52.21,12.04,4.12,4.86,0.5
2020-11-28 08:00:00,1,343.8,0.45,6.34,53.64,11.92,4.23,5.02,0.56
2020-11-28 09:00:00,1,377.18,0.47,7.97,50.07,11.8,4.54,5.39,0.61
2020-11-28 10:00:00,2,947.95,0.43,28.45,31.47,12.4,12.03,14.1,1.82
2020-11-28 11:00:00,3,1575.47,0.87,47.98,6.8,12.16,22.62,26.7,3.26
2020-11-28 12:00:00,3,1548.77,4.69,41.13,0.34,11.44,24.89,30.54,4.94
2020-11-28 13:00:00,3,1268.39,6.09,29.82,0.17,10.85,22.83,29.52,6.21
2020-11-28 14:00:00,3,1041.41,6.87,20.74,0.09,7.87,20.7,28.03,4.69
2020-11-28 15:00:00,2,834.47,7.26,13.37,0.08,5.25,16.64,23.34,2.5
2020-11-28 16:00:00,2,574.11,5.53,8.14,0.07,3.46,10.05,14.7,1.2
2020-11-28 17:00:00,1,480.65,5.98,5.48,0.01,3.16,8.2,12.45,1.31
2020-11-28 18:00:00,1,460.63,6.82,4.46,0.01,3.64,8.62,12.93,1.73
2020-11-28 19:00:00,1,417.23,6.76,3.6,0.01,3.79,8.63,13.06,1.96
2020-11-28 20:00:00,1,333.79,5.59,2.59,0.01,3.43,7.4,11.7,1.77
2020-11-28 21:00:00,1,270.37,4.41,1.99,0.02,3.25,5.97,9.64,1.5
